year,state,state_po,democrat,dem_votes,republican,rep_votes,other_votes,total_votes,winning_party,electoral_votes_dem,electoral_votes_rep,total_electoral_votes,population
1992,DELAWARE,DE,"CLINTON, BILL",126054,"BUSH, GEORGE H.W.",102313,61253,289620,DEMOCRAT,3,0,3,690.158
1992,DISTRICT OF COLUMBIA,DC,"CLINTON, BILL",192619,"BUSH, GEORGE H.W.",20698,14255,227572,DEMOCRAT,3,0,3,584.183
1992,FLORIDA,FL,"CLINTON, BILL",2071698,"BUSH, GEORGE H.W.",2173310,1068384,5313392,REPUBLICAN,0,25,25,13504.775
1992,GEORGIA,GA,"CLINTON, BILL",1008966,"BUSH, GEORGE H.W.",995252,316915,2321133,DEMOCRAT,13,0,13,6759.474
1992,HAWAII,HI,"CLINTON, BILL",179310,"BUSH, GEORGE H.W.",136822,56710,372842,DEMOCRAT,4,0,4,1149.926
1992,IDAHO,ID,"CLINTON, BILL",137013,"BUSH, GEORGE H.W.",202645,142456,482114,REPUBLICAN,0,4,4,1066.49
1992,ILLINOIS,IL,"CLINTON, BILL",2453350,"BUSH, GEORGE H.W.",1734096,862711,5050157,DEMOCRAT,22,0,22,11635.197
1992,INDIANA,IN,"CLINTON, BILL",848420,"BUSH, GEORGE H.W.",989375,468076,2305871,REPUBLICAN,0,12,12,5648.649
1992,IOWA,IA,"CLINTON, BILL",586353,"BUSH, GEORGE H.W.",504891,263363,1354607,DEMOCRAT,7,0,7,2806.923
1992,KANSAS,KS,"CLINTON, BILL",390434,"BUSH, GEORGE H.W.",449951,316851,1157236,REPUBLICAN,0,6,6,2526.042
1992,KENTUCKY,KY,"CLINTON, BILL",665104,"BUSH, GEORGE H.W.",617178,210618,1492900,DEMOCRAT,8,0,8,3756.358
1992,LOUISIANA,LA,"CLINTON, BILL",815971,"BUSH, GEORGE H.W.",733386,240660,1790017,DEMOCRAT,9,0,9,4270.849
1992,MAINE,ME,"CLINTON, BILL",263420,"BUSH, GEORGE H.W.",206504,209575,679499,DEMOCRAT,4,0,4,1235.748
1992,MARYLAND,MD,"CLINTON, BILL",988571,"BUSH, GEORGE H.W.",707094,288915,1984580,DEMOCRAT,10,0,10,4902.545
1992,MASSACHUSETTS,MA,"CLINTON, BILL",1318639,"BUSH, GEORGE H.W.",805039,649986,2773664,DEMOCRAT,12,0,12,5993.474
1992,MICHIGAN,MI,"CLINTON, BILL",1871182,"BUSH, GEORGE H.W.",1554940,848551,4274673,DEMOCRAT,18,0,18,9470.323
